repair_attempt_id,repair_row_id,variant,warm_start,target_factor,truth_model,study_scenario,background_toy_index,mass_GeV,optimizer_seed,optimizer_restarts,attempt_path,result_path,result_sha256,lml,ls_opt,ls_init,const_opt,kernel_constant_init,kernel_ls_init,actual_fit,interpolation_used
repair__f06__gengamma__2021_10pct_x10__t0006__m150__salt_03,repair__f06__gengamma__2021_10pct_x10__t0006__m150,salt_03,False,6,gengamma,2021_10pct_x10,6,0.15,3573254615,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct_x10/toy_0006/m150MeV/salt_03/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct_x10/toy_0006/m150MeV/salt_03/attempt_001/repair_row_enriched.csv,138e6081ddc5616198639e7250a310e8137dad604ea60514139b939dee9426b6,1903.123035786539,0.1412907741906139,0.0604970951899364,41.305821035192,1.0,0.0604970951899364,True,False
repair__f06__gengamma__2021_10pct_x10__t0006__m150__warm,repair__f06__gengamma__2021_10pct_x10__t0006__m150,warm,True,6,gengamma,2021_10pct_x10,6,0.15,3743735510,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct_x10/toy_0006/m150MeV/warm/attempt_002,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_10pct_x10/toy_0006/m150MeV/warm/attempt_002/repair_row_enriched.csv,77c75dedb51431b63739c6da37fcfd40ee9610549cf3d16725f8a3602e4a3dca,1903.1230345837437,0.1412907741906139,0.0604970951899364,41.30577473573928,1.3403091724181615,0.1303110061828281,True,False
repair__f06__gengamma__2021_1pct__t0007__m050__salt_01,repair__f06__gengamma__2021_1pct__t0007__m050,salt_01,False,6,gengamma,2021_1pct,7,0.05,1225614521,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct/toy_0007/m050MeV/salt_01/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct/toy_0007/m050MeV/salt_01/attempt_001/repair_row_enriched.csv,6413331fe725610d2d8a3ce3bc9f0a0a89be90afe7bdfe350e32c0ad29f41827,1170.4195263064073,0.2346535683564407,0.1004726553650726,27.128635295495293,1.0,0.1004726553650726,True,False
repair__f06__gengamma__2021_1pct__t0007__m050__salt_02,repair__f06__gengamma__2021_1pct__t0007__m050,salt_02,False,6,gengamma,2021_1pct,7,0.05,2499081049,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct/toy_0007/m050MeV/salt_02/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct/toy_0007/m050MeV/salt_02/attempt_001/repair_row_enriched.csv,d3171ff0fa1cf5e9052abbf7a5c6a05d71ab7dad707d747217045906d9588683,1170.4195262843243,0.2346535683564407,0.1004726553650726,27.12818260899586,1.0,0.1004726553650726,True,False
repair__f06__gengamma__2021_1pct__t0007__m050__salt_03,repair__f06__gengamma__2021_1pct__t0007__m050,salt_03,False,6,gengamma,2021_1pct,7,0.05,3386429422,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct/toy_0007/m050MeV/salt_03/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct/toy_0007/m050MeV/salt_03/attempt_001/repair_row_enriched.csv,e56d02c944f7494239889ec6e908dd004322032994e7616aa27f494a24135638,1170.4195262790752,0.2346535683564407,0.1004726553650726,27.128213458318072,1.0,0.1004726553650726,True,False
repair__f06__gengamma__2021_1pct_x10__t0007__m170__salt_01,repair__f06__gengamma__2021_1pct_x10__t0007__m170,salt_01,False,6,gengamma,2021_1pct_x10,7,0.17,831929088,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x10/toy_0007/m170MeV/salt_01/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x10/toy_0007/m170MeV/salt_01/attempt_001/repair_row_enriched.csv,0de1517591263351acce27b9e08759caeb5e88811200f15545e5c546ee7ff592,1467.09134988828,0.1428605132686256,0.061169217308099,31.32072721769054,1.0,0.061169217308099,True,False
repair__f06__gengamma__2021_1pct_x10__t0007__m170__salt_02,repair__f06__gengamma__2021_1pct_x10__t0007__m170,salt_02,False,6,gengamma,2021_1pct_x10,7,0.17,246026781,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x10/toy_0007/m170MeV/salt_02/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x10/toy_0007/m170MeV/salt_02/attempt_001/repair_row_enriched.csv,6130461a9822f1e4034488ed6fd25f1e13f472aaf37ae8b56066580d66be58f5,1467.0913499957464,0.1428605132686256,0.061169217308099,31.320676401831125,1.0,0.061169217308099,True,False
repair__f06__gengamma__2021_1pct_x10__t0007__m170__salt_03,repair__f06__gengamma__2021_1pct_x10__t0007__m170,salt_03,False,6,gengamma,2021_1pct_x10,7,0.17,941985943,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x10/toy_0007/m170MeV/salt_03/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x10/toy_0007/m170MeV/salt_03/attempt_001/repair_row_enriched.csv,47ba4eb4a264c3aba0c57982038007c0b0e636d8fcc1cdbd27b352cea957871a,1467.091349784666,0.1428605132686256,0.061169217308099,31.320727564665905,1.0,0.061169217308099,True,False
repair__f06__gengamma__2021_1pct_x10__t0007__m170__warm,repair__f06__gengamma__2021_1pct_x10__t0007__m170,warm,True,6,gengamma,2021_1pct_x10,7,0.17,1044556615,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x10/toy_0007/m170MeV/warm/attempt_002,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x10/toy_0007/m170MeV/warm/attempt_002/repair_row_enriched.csv,05f633b0b7e06557b19baf8408af1f088585b479cddf62a598de67b07373fa83,1467.09134936716,0.1428605132686256,0.061169217308099,31.32082159854686,1.0,0.1248611419752198,True,False
repair__f06__gengamma__2021_1pct_x100__t0006__m110__salt_01,repair__f06__gengamma__2021_1pct_x100__t0006__m110,salt_01,False,6,gengamma,2021_1pct_x100,6,0.11,3491422032,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0006/m110MeV/salt_01/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0006/m110MeV/salt_01/attempt_001/repair_row_enriched.csv,63348fcc4dee8233dd70e934bd4fd85ed0df49701e5fff99bf28fbba75ed3d7f,1896.03946141628,0.1474152750941879,0.0631194498077581,43.10678593555974,1.0,0.0631194498077581,True,False
repair__f06__gengamma__2021_1pct_x100__t0006__m110__salt_02,repair__f06__gengamma__2021_1pct_x100__t0006__m110,salt_02,False,6,gengamma,2021_1pct_x100,6,0.11,2451502572,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0006/m110MeV/salt_02/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0006/m110MeV/salt_02/attempt_001/repair_row_enriched.csv,95b71f3e7a7108598a6d05d46847f62593b5ccb5207d4638a79e459c95d14450,1896.0394599732708,0.1474152750941879,0.0631194498077581,43.10477872011066,1.0,0.0631194498077581,True,False
repair__f06__gengamma__2021_1pct_x100__t0006__m110__salt_03,repair__f06__gengamma__2021_1pct_x100__t0006__m110,salt_03,False,6,gengamma,2021_1pct_x100,6,0.11,2924322847,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0006/m110MeV/salt_03/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0006/m110MeV/salt_03/attempt_001/repair_row_enriched.csv,9c3247720ca3c7ebf43ed5183bbcd31fc83c77e6e78d15fd790c786df702a367,1896.039457378547,0.1474152750941879,0.0631194498077581,43.10452608736937,1.0,0.0631194498077581,True,False
repair__f06__gengamma__2021_1pct_x100__t0006__m110__warm,repair__f06__gengamma__2021_1pct_x100__t0006__m110,warm,True,6,gengamma,2021_1pct_x100,6,0.11,414615757,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0006/m110MeV/warm/attempt_002,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0006/m110MeV/warm/attempt_002/repair_row_enriched.csv,b2027f16ebc370645949a3977df502ce7c469e7938898543190bbda2257965f7,1896.0394582536192,0.1474152750941879,0.0631194498077581,43.10781586416755,2.37981060055404,0.1460110175231496,True,False
repair__f06__gengamma__2021_1pct_x100__t0008__m250__salt_01,repair__f06__gengamma__2021_1pct_x100__t0008__m250,salt_01,False,6,gengamma,2021_1pct_x100,8,0.25,1529710874,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0008/m250MeV/salt_01/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0008/m250MeV/salt_01/attempt_001/repair_row_enriched.csv,67307da13e33d4e30b10db49dc86e6981e8e5fc2f7f5ed53036c3ea7c2562b45,1825.2300007190067,0.1626946315678652,0.0696616793929821,46.10211039402411,1.0,0.0696616793929821,True,False
repair__f06__gengamma__2021_1pct_x100__t0008__m250__salt_02,repair__f06__gengamma__2021_1pct_x100__t0008__m250,salt_02,False,6,gengamma,2021_1pct_x100,8,0.25,4157271751,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0008/m250MeV/salt_02/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0008/m250MeV/salt_02/attempt_001/repair_row_enriched.csv,9b0e3a841f46180b2cfcff46f11afa7ef19db593f22aa04ff9bd81e91110644b,1825.2299984152976,0.1626946315678652,0.0696616793929821,46.06839441686205,1.0,0.0696616793929821,True,False
repair__f06__gengamma__2021_1pct_x100__t0008__m250__salt_03,repair__f06__gengamma__2021_1pct_x100__t0008__m250,salt_03,False,6,gengamma,2021_1pct_x100,8,0.25,2719827888,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0008/m250MeV/salt_03/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0008/m250MeV/salt_03/attempt_001/repair_row_enriched.csv,9b8478f97e3c2e280b5f73db5462f474253a17fcc36a5c48eaec02c9a5e1c639,1825.2300007389883,0.1626946315678652,0.0696616793929821,46.073773967236285,1.0,0.0696616793929821,True,False
repair__f06__gengamma__2021_1pct_x100__t0008__m250__warm,repair__f06__gengamma__2021_1pct_x100__t0008__m250,warm,True,6,gengamma,2021_1pct_x100,8,0.25,1404219652,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0008/m250MeV/warm/attempt_002,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0008/m250MeV/warm/attempt_002/repair_row_enriched.csv,c0a744fcc14b10632612bb71d4fcf3109936a56ed979fd1e162e079f3ba5ac78,1825.2300007338988,0.1626946315678652,0.0696616793929821,46.07376216703845,9.930311425360756,0.0412915878978704,True,False
repair__f06__gengamma__2021_1pct_x100__t0009__m190__salt_01,repair__f06__gengamma__2021_1pct_x100__t0009__m190,salt_01,False,6,gengamma,2021_1pct_x100,9,0.19,2438903855,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0009/m190MeV/salt_01/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0009/m190MeV/salt_01/attempt_001/repair_row_enriched.csv,0a81f6bb2fd2247d2859fe8dd3653c1889472b948d49af86da8c98f31f925509,1852.8800375564756,0.1462171082336709,0.0626064254080451,44.665323107897294,1.0,0.0626064254080451,True,False
repair__f06__gengamma__2021_1pct_x100__t0009__m190__salt_02,repair__f06__gengamma__2021_1pct_x100__t0009__m190,salt_02,False,6,gengamma,2021_1pct_x100,9,0.19,848555546,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0009/m190MeV/salt_02/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0009/m190MeV/salt_02/attempt_001/repair_row_enriched.csv,5891d2a1d401c2505c1c088199f1efeb20c5e609f1447b2f588f60a3c33439ba,1852.880036078073,0.1462171082336709,0.0626064254080451,44.666855530305966,1.0,0.0626064254080451,True,False
repair__f06__gengamma__2021_1pct_x100__t0009__m190__salt_03,repair__f06__gengamma__2021_1pct_x100__t0009__m190,salt_03,False,6,gengamma,2021_1pct_x100,9,0.19,2419163074,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0009/m190MeV/salt_03/attempt_001,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0009/m190MeV/salt_03/attempt_001/repair_row_enriched.csv,bc2a1f200eb532edde892961ed58d5e822aaaa55cd301922197350f993feeb0f,1852.8800373630652,0.1462171082336709,0.0626064254080451,44.666865214101136,1.0,0.0626064254080451,True,False
repair__f06__gengamma__2021_1pct_x100__t0009__m190__warm,repair__f06__gengamma__2021_1pct_x100__t0009__m190,warm,True,6,gengamma,2021_1pct_x100,9,0.19,1558944652,12,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0009/m190MeV/warm/attempt_002,/Users/emryspeets/Desktop/gp_mods/hps-gpr-emrys-validation_workflow/study_results/v4p1_2021_ls_exposure_ensembles_20260804/runs/scan_repairs/f06/gengamma/2021_1pct_x100/toy_0009/m190MeV/warm/attempt_002/repair_row_enriched.csv,03d3632d1cd78a6cde2eafd7d111ec29ff0f6519734db2b1984c2c721ea4d660,1852.8800317380185,0.1462171082336709,0.0626064254080451,44.667204795688896,1.0,0.127794830724439,True,False
